ID,PerDiem,PPG,PPI,YoY PPI,YoY Min Emp,YoY Labor Force,YoY Emp,YoY UnEmp Rate,RevPAR,YoY RevPAR
a22,215,3.503,145.2,2.76%,2.12%,1.18%,1.95%,-8.24%,$53.44 ,1.90%
a23,215,3.424,144.1,2.20%,2.87%,1.52%,2.56%,-10.11%,$42.48 ,0.30%
a24,215,3.199,142.9,3.33%,2.47%,1.10%,1.97%,-8.99%,$55.51 ,8.40%
a25,215,3.045,142.4,1.71%,4.93%,1.59%,2.23%,-6.59%,$58.96 ,1.20%
a26,215,3.122,143.9,2.13%,5.60%,1.67%,2.21%,-5.56%,$66.00 ,2.30%
a27,215,3.543,149,3.76%,4.85%,1.28%,1.83%,-5.62%,$72.15 ,4.10%
a28,215,3.906,147.6,3.58%,2.91%,1.32%,1.88%,-6.10%,$50.14 ,5.40%
a29,215,3.82,146,2.38%,5.22%,1.05%,1.87%,-9.52%,$58.11 ,4.80%
a30,215,3.73,147.2,3.74%,5.04%,1.30%,1.50%,-1.22%,$80.63 ,13.00%
a31,215,3.592,148,3.21%,4.43%,1.38%,1.82%,-4.94%,$80.98 ,1.40%
a32,215,3.527,148.7,3.62%,4.68%,1.44%,2.08%,-6.17%,$79.24 ,6.60%
a33,215,3.693,148.4,3.34%,5.14%,1.04%,1.97%,-11.25%,$68.61 ,5.20%
a34,215,3.704,148.2,2.07%,6.22%,1.29%,2.20%,-10.26%,$61.72 ,15.50%
a35,215,3.457,144.2,0.07%,6.56%,0.95%,1.93%,-11.25%,$44.32 ,4.30%
a36,215,3.201,142.1,-0.56%,7.24%,1.64%,2.72%,-11.11%,$55.97 ,0.80%
a37,215,2.922,142.2,-0.14%,7.64%,1.11%,1.86%,-8.24%,$65.28 ,10.70%
a38,215,3.448,145.6,1.18%,8.84%,1.51%,2.55%,-10.59%,$73.51 ,11.40%
a39,215,3.597,150.7,1.14%,8.96%,1.37%,2.54%,-11.90%,$74.85 ,3.70%
a40,215,3.598,149.8,1.49%,8.33%,1.44%,2.60%,-12.99%,$55.88 ,11.50%
a41,215,3.764,149.2,2.19%,9.79%,1.66%,2.75%,-13.16%,$62.43 ,7.40%
a42,215,3.766,150.9,2.51%,9.47%,2.15%,3.32%,-13.58%,$82.12 ,1.90%
a43,215,3.599,154.5,4.39%,10.20%,2.14%,3.27%,-12.99%,$89.37 ,10.40%
a44,215,3.566,151.5,1.88%,10.91%,2.27%,3.65%,-17.11%,$84.21 ,6.30%
a45,215,3.571,151.4,2.02%,10.44%,1.97%,3.23%,-15.49%,$75.75 ,10.40%
a46,222,3.394,150.9,1.82%,10.68%,1.01%,2.27%,-15.71%,$65.79 ,6.60%
a47,222,3.216,147.9,2.57%,11.53%,1.01%,2.40%,-18.31%,$51.06 ,15.20%
a48,222,3.109,144.7,1.83%,11.66%,0.33%,1.84%,-19.44%,$64.58 ,15.40%
a49,222,3.206,147.1,3.45%,13.23%,0.59%,2.38%,-20.51%,$73.90 ,13.20%
a50,222,3.331,150.4,3.30%,12.99%,0.81%,2.38%,-19.74%,$80.69 ,9.80%
a51,222,3.634,152.3,1.06%,13.13%,1.34%,2.88%,-18.92%,$90.32 ,20.70%
a52,222,3.583,152.8,2.00%,14.21%,1.90%,3.49%,-22.39%,$65.48 ,17.20%
a53,222,3.509,154.6,3.62%,12.56%,1.58%,3.53%,-27.27%,$68.64 ,10.00%
a54,222,3.563,155.8,3.25%,11.81%,1.30%,3.52%,-28.57%,$92.10 ,12.10%
a55,222,3.65,156.8,1.49%,12.38%,1.45%,3.47%,-28.36%,$102.26 ,14.40%
a56,222,3.682,158.7,4.75%,11.49%,1.03%,2.94%,-28.57%,$94.97 ,12.80%
a57,222,3.624,156,3.04%,12.08%,0.90%,2.94%,-31.67%,$85.50 ,12.90%
a58,229,3.304,159,5.37%,10.35%,1.61%,3.70%,-33.90%,$76.47 ,16.20%
a59,229,3.027,152.2,2.91%,10.69%,1.28%,3.20%,-31.03%,$56.34 ,10.40%
a60,229,2.571,149.2,3.11%,12.81%,0.94%,2.78%,-31.03%,$73.05 ,13.10%
a61,229,1.998,152.1,3.40%,12.65%,3.71%,5.63%,-27.42%,$80.34 ,8.70%
a62,229,2.084,155.3,3.26%,13.89%,3.51%,5.28%,-26.23%,$91.36 ,13.20%
a84,261,3.567,145.2,2.76%,-6.25%,0.98%,0.66%,3.19%,$101.32 ,8.00%
a85,261,3.56,144.1,2.20%,-6.25%,0.60%,1.04%,-4.21%,$91.37 ,10.70%
a86,201,3.414,142.9,3.33%,-13.33%,1.13%,1.30%,-1.06%,$50.44 ,6.00%
a87,201,3.602,142.4,1.71%,0.00%,0.78%,1.28%,-3.92%,$47.11 ,25.70%
a88,201,3.644,143.9,2.13%,0.00%,1.00%,1.43%,-4.00%,$53.62 ,11.90%
a89,201,4.267,149,3.76%,-7.69%,0.73%,1.35%,-6.19%,$73.36 ,11.30%
a90,242,4.293,147.6,3.58%,-13.33%,0.55%,1.42%,-8.42%,$82.22 ,17.50%
a91,242,4.097,146,2.38%,-6.67%,0.99%,1.93%,-8.25%,$95.98 ,5.00%
a92,242,3.873,147.2,3.74%,0.00%,1.13%,2.22%,-8.49%,$118.95 ,7.60%
a93,226,3.749,148,3.21%,-6.25%,0.99%,1.95%,-8.49%,$95.97 ,3.60%
a94,226,4.2,148.7,3.62%,0.00%,0.26%,1.53%,-10.58%,$95.40 ,6.50%
a95,261,4.248,148.4,3.34%,0.00%,0.38%,2.03%,-15.15%,$112.51 ,21.40%
a96,261,3.884,148.2,2.07%,0.00%,0.79%,1.97%,-11.34%,$115.87 ,14.40%
a97,261,3.614,144.2,0.07%,0.00%,0.51%,1.31%,-7.69%,$93.43 ,2.30%
a98,201,3.462,142.1,-0.56%,0.00%,1.00%,1.17%,-2.15%,$52.30 ,3.70%
a99,201,3.45,142.2,-0.14%,0.00%,1.59%,0.99%,5.10%,$46.91 ,-0.40%
a100,201,3.963,145.6,1.18%,0.00%,1.13%,0.85%,3.13%,$55.91 ,4.30%
a101,201,3.958,150.7,1.14%,0.00%,0.76%,0.64%,2.20%,$75.86 ,3.40%
a102,242,3.995,149.8,1.49%,0.00%,1.00%,0.76%,2.30%,$89.95 ,9.40%
a103,242,4.207,149.2,2.19%,14.29%,0.84%,0.74%,1.12%,$104.67 ,9.10%
a104,242,4.278,150.9,2.51%,6.67%,0.80%,0.65%,1.03%,$129.58 ,8.90%
a105,226,4.002,154.5,4.39%,0.00%,0.60%,0.94%,-3.09%,$106.12 ,10.60%
a106,226,3.841,151.5,1.88%,0.00%,0.41%,0.68%,-3.23%,$104.11 ,9.10%
a107,261,3.769,151.4,2.02%,0.00%,0.24%,0.15%,1.19%,$107.68 ,-4.30%
a108,280,3.542,150.9,1.82%,0.00%,-0.74%,-0.68%,0.00%,$109.10 ,-5.80%
a109,280,3.41,147.9,2.57%,6.67%,0.03%,0.32%,-3.57%,$86.05 ,-7.90%
a110,199,3.417,144.7,1.83%,0.00%,-0.79%,0.30%,-10.99%,$64.86 ,24.00%
a111,199,3.524,147.1,3.45%,0.00%,-0.65%,1.18%,-15.53%,$46.21 ,-1.50%
a112,199,3.61,150.4,3.30%,0.00%,-0.15%,1.12%,-11.11%,$58.12 ,4.00%
a113,257,3.911,152.3,1.06%,0.00%,0.46%,1.73%,-12.90%,$73.67 ,-2.90%
a114,257,4.082,152.8,2.00%,7.69%,-0.56%,1.48%,-21.35%,$88.28 ,-1.90%
a115,257,3.974,154.6,3.62%,-6.25%,-0.69%,1.52%,-23.33%,$117.75 ,12.50%
a116,257,4.09,155.8,3.25%,0.00%,-1.19%,1.71%,-27.55%,$128.78 ,-0.60%
a117,237,3.804,156.8,1.49%,6.67%,-0.68%,1.72%,-23.40%,$114.46 ,7.90%
a118,237,3.702,158.7,4.75%,6.67%,-0.50%,1.98%,-24.44%,$111.65 ,7.20%
a119,280,3.735,156,3.04%,6.67%,-0.37%,2.23%,-28.24%,$125.31 ,16.40%
a120,265,3.437,159,5.37%,6.67%,0.60%,3.44%,-30.23%,$119.59 ,9.60%
a121,265,3.164,152.2,2.91%,0.00%,0.37%,2.83%,-27.16%,$100.52 ,16.80%
a122,203,2.716,149.2,3.11%,7.69%,0.40%,3.00%,-29.63%,$68.69 ,5.90%
a123,203,2.217,152.1,3.40%,0.00%,0.11%,2.01%,-20.69%,$53.88 ,16.60%
a124,203,2.462,155.3,3.26%,0.00%,-0.76%,1.52%,-23.86%,$62.17 ,7.00%
a146,180,3.279,145.2,2.76%,13.33%,2.83%,3.43%,-6.17%,$64.05 ,10.90%
a147,180,3.215,144.1,2.20%,13.50%,2.23%,3.50%,-14.29%,$60.14 ,14.00%
a148,180,3.128,142.9,3.33%,14.53%,2.55%,3.65%,-11.25%,$45.74 ,14.40%
a149,180,3.278,142.4,1.71%,13.34%,2.26%,3.50%,-12.94%,$57.28 ,10.70%
a150,180,3.534,143.9,2.13%,12.95%,2.44%,3.57%,-12.20%,$71.97 ,17.30%
a151,180,3.791,149,3.76%,13.60%,2.29%,3.55%,-13.92%,$75.63 ,13.20%
a152,180,3.899,147.6,3.58%,12.96%,2.22%,3.60%,-15.58%,$73.94 ,7.90%
a153,180,3.67,146,2.38%,14.10%,2.32%,3.64%,-15.19%,$75.43 ,10.60%
a154,180,3.388,147.2,3.74%,11.94%,2.39%,3.80%,-15.12%,$67.29 ,17.30%
a155,180,3.315,148,3.21%,11.71%,2.68%,4.05%,-15.29%,$59.76 ,15.70%
a156,180,3.561,148.7,3.62%,9.98%,2.31%,3.85%,-17.07%,$61.22 ,17.60%
a157,180,3.69,148.4,3.34%,9.85%,2.56%,4.47%,-21.25%,$63.03 ,14.10%
a158,180,3.528,148.2,2.07%,9.04%,2.59%,4.14%,-18.42%,$74.05 ,15.60%
a159,180,3.245,144.2,0.07%,8.54%,2.41%,3.79%,-16.67%,$64.48 ,7.20%
a160,180,3.151,142.1,-0.56%,7.89%,2.52%,3.60%,-14.08%,$51.62 ,12.90%
a161,180,3.248,142.2,-0.14%,9.07%,2.98%,3.70%,-9.46%,$64.77 ,13.10%
a162,180,3.55,145.6,1.18%,8.90%,2.80%,3.73%,-12.50%,$87.41 ,21.50%
a163,180,3.611,150.7,1.14%,8.16%,2.55%,3.44%,-11.76%,$78.54 ,3.90%
a164,180,3.5,149.8,1.49%,8.53%,3.15%,3.88%,-10.77%,$82.00 ,10.90%
a165,180,3.442,149.2,2.19%,7.58%,2.88%,3.63%,-10.45%,$88.68 ,17.60%
a166,180,3.421,150.9,2.51%,7.59%,2.63%,3.41%,-9.59%,$73.03 ,8.50%
a167,180,3.486,154.5,4.39%,6.96%,2.69%,3.61%,-11.11%,$74.75 ,25.10%
