X1,X2,X3,X4,X5,X6,X7,X8,Y1
PerDiem,Price Per Gallon ,PPI for Accommodations,YoY Change to PPI,YoY Change Mining and Logging Emp,YoY Change Labor Force,YoY Change Employment,YoY Change in UnEmp Rate,RevPAR
215,3.503,145.2,0.027600849,0.021186441,0.011846439,0.019506506,-0.082352941,53.44305538
215,3.424,144.1,0.021985816,0.028735632,0.015198174,0.025590844,-0.101123596,42.48296553
215,3.199,142.9,0.033261027,0.024745269,0.011027001,0.019676359,-0.08988764,55.50838589
215,3.045,142.4,0.017142857,0.049306626,0.015878808,0.022341724,-0.065934066,58.96277077
215,3.122,143.9,0.021291696,0.055987558,0.016708224,0.022059816,-0.055555556,66.00008113
215,3.543,149,0.037604457,0.048484848,0.012820733,0.018256354,-0.056179775,72.1480067
215,3.906,147.6,0.035789474,0.029069767,0.013191788,0.018812197,-0.06097561,50.13705174
215,3.82,146,0.023842917,0.052249637,0.01050361,0.018740957,-0.095238095,58.11428569
215,3.73,147.2,0.037350247,0.050420168,0.01301628,0.014977555,-0.012195122,80.62614175
215,3.592,148,0.032078103,0.044260028,0.013777585,0.018194044,-0.049382716,80.98002251
215,3.527,148.7,0.036236934,0.046767538,0.014352889,0.020808658,-0.061728395,79.24107685
215,3.693,148.4,0.033426184,0.051388889,0.010390507,0.019747454,-0.1125,68.61094203
215,3.704,148.2,0.020661157,0.062240664,0.012899041,0.022009223,-0.102564103,61.71843865
215,3.457,144.2,0.000693963,0.065642458,0.009546459,0.019252012,-0.1125,44.31791455
215,3.201,142.1,-0.005598321,0.072443182,0.016432527,0.027163491,-0.111111111,55.97020661
215,2.922,142.2,-0.001404494,0.076358297,0.011092237,0.018617813,-0.082352941,65.2836605
215,3.448,145.6,0.01181376,0.088365243,0.01513391,0.025519296,-0.105882353,73.51189728
215,3.597,150.7,0.011409396,0.089595376,0.013704344,0.02539096,-0.119047619,74.85192696
215,3.598,149.8,0.014905149,0.083333333,0.014355563,0.025956854,-0.12987013,55.87798998
215,3.764,149.2,0.021917808,0.097931034,0.016619795,0.027534319,-0.131578947,62.42557549
215,3.766,150.9,0.02513587,0.094666667,0.021461446,0.033208676,-0.135802469,82.12445339
215,3.599,154.5,0.043918919,0.101986755,0.021443627,0.032748242,-0.12987013,89.36810698
215,3.566,151.5,0.018829859,0.109067017,0.022746434,0.036543038,-0.171052632,84.21311138
215,3.571,151.4,0.020215633,0.104359313,0.019735785,0.032332511,-0.154929577,75.74743456
222,3.394,150.9,0.018218623,0.106770833,0.010099419,0.022735922,-0.157142857,65.79023559
222,3.216,147.9,0.025658807,0.115334207,0.010052246,0.024019307,-0.183098592,51.05704078
222,3.109,144.7,0.018296974,0.116556291,0.003281342,0.01844413,-0.194444444,64.57546926
222,3.206,147.1,0.034458509,0.132332879,0.005918011,0.02375427,-0.205128205,73.89842125
222,3.331,150.4,0.032967033,0.129905277,0.008065083,0.023777781,-0.197368421,80.68711996
222,3.634,152.3,0.01061712,0.131299735,0.013363995,0.028791845,-0.189189189,90.32270571
222,3.583,152.8,0.020026702,0.142112125,0.018994925,0.034928436,-0.223880597,65.48493586
222,3.509,154.6,0.036193029,0.125628141,0.015839124,0.035318733,-0.272727273,68.63793962
222,3.563,155.8,0.032471836,0.118148599,0.012967949,0.035244701,-0.285714286,92.10158681
222,3.65,156.8,0.014886731,0.123798077,0.014469781,0.034680811,-0.28358209,102.2599757
222,3.682,158.7,0.047524752,0.11492891,0.010262649,0.029429571,-0.285714286,94.97023527
222,3.624,156,0.030383091,0.120813397,0.008958783,0.029433439,-0.316666667,85.49583396
229,3.304,159,0.053677932,0.103529412,0.016106042,0.03696837,-0.338983051,76.47351424
229,3.027,152.2,0.029073698,0.10693302,0.01279185,0.031972293,-0.310344828,56.34174588
229,2.571,149.2,0.031098825,0.128113879,0.009420326,0.02781628,-0.310344828,73.05181497
229,1.998,152.1,0.033990483,0.126506024,0.037147591,0.056273966,-0.274193548,80.34225145
229,2.084,155.3,0.032579787,0.138922156,0.035129522,0.052829839,-0.262295082,91.36319306
261,3.567,145.2,0.027600849,-0.0625,0.009808868,0.006609417,0.031914894,101.3197299
261,3.56,144.1,0.021985816,-0.0625,0.006003924,0.010408995,-0.042105263,91.37106259
201,3.414,142.9,0.033261027,-0.133333333,0.011292957,0.013007835,-0.010638298,50.43579222
201,3.602,142.4,0.017142857,0,0.007833814,0.012770929,-0.039215686,47.11189398
201,3.644,143.9,0.021291696,0,0.010033363,0.01432652,-0.04,53.61799095
201,4.267,149,0.037604457,-0.076923077,0.007344124,0.013540114,-0.06185567,73.36175328
242,4.293,147.6,0.035789474,-0.133333333,0.005485227,0.014171699,-0.084210526,82.21623137
242,4.097,146,0.023842917,-0.066666667,0.009879693,0.019265199,-0.082474227,95.97769749
242,3.873,147.2,0.037350247,0,0.011342415,0.022212011,-0.08490566,118.9454844
226,3.749,148,0.032078103,-0.0625,0.00988391,0.019483446,-0.08490566,95.9663499
226,4.2,148.7,0.036236934,0,0.002563182,0.015277263,-0.105769231,95.39570978
261,4.248,148.4,0.033426184,0,0.003759118,0.020258751,-0.151515152,112.5061743
261,3.884,148.2,0.020661157,0,0.007926838,0.019747769,-0.113402062,115.8677886
261,3.614,144.2,0.000693963,0,0.00508691,0.013053309,-0.076923077,93.43251741
201,3.462,142.1,-0.005598321,0,0.010036285,0.011738303,-0.021505376,52.29853754
201,3.45,142.2,-0.001404494,0,0.015933557,0.009925252,0.051020408,46.908645
201,3.963,145.6,0.01181376,0,0.01131912,0.008455375,0.03125,55.91087502
201,3.958,150.7,0.011409396,0,0.007634037,0.006390194,0.021978022,75.85714511
242,3.995,149.8,0.014905149,0,0.010000217,0.007568268,0.022988506,89.94879139
242,4.207,149.2,0.021917808,0.142857143,0.008358341,0.007415399,0.011235955,104.665921
242,4.278,150.9,0.02513587,0.066666667,0.008037806,0.006537886,0.010309278,129.578128
226,4.002,154.5,0.043918919,0,0.005952032,0.009382891,-0.030927835,106.1191922
226,3.841,151.5,0.018829859,0,0.004114578,0.006811297,-0.032258065,104.1094486
261,3.769,151.4,0.020215633,0,0.002385214,0.001481964,0.011904762,107.6840906
280,3.542,150.9,0.018218623,0,-0.007382587,-0.006830848,0,109.1024566
280,3.41,147.9,0.025658807,0.066666667,0.000287396,0.003197531,-0.035714286,86.05367267
199,3.417,144.7,0.018296974,0,-0.007936647,0.003006236,-0.10989011,64.86192522
199,3.524,147.1,0.034458509,0,-0.006511627,0.011758254,-0.155339806,46.21216639
199,3.61,150.4,0.032967033,0,-0.001482074,0.011192737,-0.111111111,58.12050216
257,3.911,152.3,0.01061712,0,0.004553381,0.017252028,-0.129032258,73.67086499
257,4.082,152.8,0.020026702,0.076923077,-0.005566982,0.01484656,-0.213483146,88.27500845
257,3.974,154.6,0.036193029,-0.0625,-0.006892435,0.015186832,-0.233333333,117.7526771
257,4.09,155.8,0.032471836,0,-0.011903447,0.017059274,-0.275510204,128.7804437
237,3.804,156.8,0.014886731,0.066666667,-0.006774052,0.017244747,-0.234042553,114.4622916
237,3.702,158.7,0.047524752,0.066666667,-0.004994586,0.019787158,-0.244444444,111.6465465
280,3.735,156,0.030383091,0.066666667,-0.00365129,0.02225898,-0.282352941,125.3106163
265,3.437,159,0.053677932,0.066666667,0.006017268,0.034435314,-0.302325581,119.5872498
265,3.164,152.2,0.029073698,0,0.003659976,0.028334703,-0.271604938,100.518139
203,2.716,149.2,0.031098825,0.076923077,0.003990103,0.029957269,-0.296296296,68.68873923
203,2.217,152.1,0.033990483,0,0.001129394,0.020098563,-0.206896552,53.88175526
203,2.462,155.3,0.032579787,0,-0.007617829,0.015157162,-0.238636364,62.1687543
180,3.279,145.2,0.027600849,0.133333333,0.028333669,0.034307847,-0.061728395,64.05308696
180,3.215,144.1,0.021985816,0.134969325,0.022293534,0.035046867,-0.142857143,60.13691895
180,3.128,142.9,0.033261027,0.145299145,0.025480159,0.036486419,-0.1125,45.73876903
180,3.278,142.4,0.017142857,0.133414933,0.022551178,0.035025112,-0.129411765,57.28214402
180,3.534,143.9,0.021291696,0.129539952,0.024398415,0.03568726,-0.12195122,71.97361188
180,3.791,149,0.037604457,0.135980746,0.022926785,0.035465792,-0.139240506,75.62920095
